零件名,类型,X(mm),Y(mm),Z(mm),体积(mm³),投影半径(mm),孔数,孔径(mm),壁厚(mm)
5×2“滤镜盘,round_disk,143.0,143.0,7.0,27033.58,79.23,1,bottom:⌀33.11,
7x36mm滤镜盘,round_disk,143.0,143.0,7.0,37542.79,88.33,0,,
PCB螺丝垫片,generic,4.8,4.8,1.0,10.05,2.4,0,,
传动轮2_D14,cylinder,14.0,8.0,14.0,987.48,8.06,0,,
传动轮2_D15,cylinder,15.0,8.0,15.0,1157.36,8.5,0,,
传动轮2_D16,cylinder,16.0,8.0,16.0,1339.19,8.94,0,,
传动轮2_D17,cylinder,17.0,8.0,17.0,1532.95,9.39,0,,
传动轮2_D轴,cylinder,11.0,8.0,11.0,549.54,6.8,0,,
后盖,round_disk,158.0,182.59,5.0,60507.78,96.92,1,top:⌀14.06,
外壳,flat_plate,158.0,17.0,182.23,102357.27,79.76,1,top:⌀16.57,
滤镜压环,round_disk,128.34,128.32,1.0,1902.9,65.32,0,,
电机盖,cylinder,49.05,43.03,23.0,17320.78,31.44,2,top:⌀53.09; bottom:⌀52.94,
防脱压片,round_disk,33.0,33.0,3.0,1858.1,16.5,2,top:⌀13.94; bottom:⌀13.94,
